Fuente;Módulo documento;Regla ID;Regla;Condición documento;Severidad documento;Severidad original;Impacto;Acción sugerida documento;Automatizable;Prioridad;¿Está considerado en MVP?;Módulo actual / recomendado;Observación de cobertura;Cómo mostrar en front;
reglas_calidad_web_claro(Links) (1).csv;Links;LINK_004;PDFs o descargables rotos;broken_downloads = 0;Media;Media;UX;Corregir recurso;Sí;Media;No considerado;M5 Links;"Requiere crawler de enlaces internos/externos, imágenes, PDFs y anchors; no está implementado en MVP.";Mostrar panel de enlaces rotos por tipo y severidad.;
reglas_calidad_web_claro(Links) (1).csv;Links;LINK_005;Anchors internos inválidos;broken_anchors = 0;Baja;Baja;UX;Corregir id/hash;Sí;Baja;No considerado;M5 Links;"Requiere crawler de enlaces internos/externos, imágenes, PDFs y anchors; no está implementado en MVP.";Mostrar panel de enlaces rotos por tipo y severidad.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_001;Performance bajo;score < 50;Media;Media;SEO / UX;Evaluar optimización;Sí;Media;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_002;Performance crítico;score < 40;Alta;Alta;SEO / UX;Priorizar optimización;Sí;Alta;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_003;Caída de performance;score_actual < score_anterior - 10;Alta;Alta;SEO / UX;Revisar cambios recientes;Sí;Alta;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_004;Mejora de performance;score_actual > score_anterior + 10;Baja;Baja;SEO;Validar mejora;Sí;Baja;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_005;LCP crítico;LCP > 4s;Alta;Crítica;SEO / UX;Optimizar carga;Sí;Alta;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_006;LCP alto;2.5s < LCP ≤ 4s;Media;Media;SEO;Mejorar carga;Sí;Media;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_007;CLS crítico;CLS > 0.25;Alta;Crítica;UX;Estabilizar layout;Sí;Alta;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_008;CLS alto;0.1 < CLS ≤ 0.25;Media;Media;UX;Revisar layout;Sí;Media;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_009;INP alto;INP > 200ms;Media;Media;UX;Optimizar interacción;Sí;Media;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_010;LCP empeoró;LCP_actual > LCP_anterior + 1s;Alta;Alta;SEO / UX;Revisar cambios;Sí;Alta;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_011;LCP mejoró;LCP_actual < LCP_anterior - 1s;Baja;Baja;SEO;Validar mejora;Sí;Baja;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_012;CLS empeoró;CLS_actual > CLS_anterior + 0.05;Alta;Alta;UX;Revisar cambios;Sí;Alta;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_013;CLS mejoró;CLS_actual < CLS_anterior - 0.05;Baja;Baja;UX;Validar mejora;Sí;Baja;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_014;Peso de página alto;page_weight > 3MB;Alta;Alta;Performance;Reducir recursos;Sí;Alta;Parcial;M2 Técnico / M6 Performance;"Puede capturarse peso de página si el crawler registra page_size_kb; falta regla y visualización dedicada.";Mostrar Peso de página con semáforo.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_015;Peso de página medio;2MB < page_weight ≤ 3MB;Media;Media;Performance;Optimizar recursos;Sí;Media;Parcial;M2 Técnico / M6 Performance;"Puede capturarse peso de página si el crawler registra page_size_kb; falta regla y visualización dedicada.";Mostrar Peso de página con semáforo.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_016;Imágenes pesadas;image_weight > 200KB;Media;Media;Performance;Comprimir imágenes;Sí;Media;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_017;Imágenes sin formato moderno;formato != WebP/AVIF;Media;Media;Performance;Convertir imágenes;Sí;Media;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_018;Imágenes sin lazy load;lazy_load = FALSE;Baja;Baja;Performance;Implementar lazy load;Sí;Baja;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_019;Imágenes pesadas sin optimizar;image_weight > 200KB AND formato != WebP/AVIF;Alta;Alta;Performance;Optimizar imágenes;Sí;Alta;No considerado;M6 Performance;"Requiere Lighthouse/PageSpeed/Core Web Vitals o histórico de runs; no está en el MVP actual.";Mostrar score y barras CWV cuando se implemente.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_020;JS rotos;broken_js = 0;Alta;Alta;UX / Tagging;Corregir bundle o ruta;Sí;Alta;No considerado;M6 Performance / Links;Requiere crawler de assets JS/CSS y validación de recursos estáticos.;Mostrar como Recursos rotos cuando exista módulo de assets.;
reglas_calidad_web_claro(Performance).csv;Performance;PERF_021;CSS rotos;broken_css = 0;Alta;Alta;UX;Corregir asset;Sí;Alta;No considerado;M6 Performance / Links;Requiere crawler de assets JS/CSS y validación de recursos estáticos.;Mostrar como Recursos rotos cuando exista módulo de assets.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_001;Página con status no válido;status != 200;Alta;Crítica;Indexación;Corregir respuesta HTTP;Sí;Alta;Considerado;M2 Técnico;Se valida código HTTP mediante status_code y se puede marcar error cuando no es 200.;Badge Código HTTP con verde para 200, amarillo para 301/302 y rojo para 4xx/5xx.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_002;Canonical presente;canonical IS NOT NULL;Alta;Alta;Indexación;Agregar canonical;Sí;Alta;Considerado;M3 SEO;La validación está cubierta por campos del SEO Validator.;Mostrar check visual y hallazgo por URL si incumple.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_003;Canonical incorrecto;canonical != URL esperada;Alta;Alta;Indexación;Corregir canonical;Sí;Alta;Parcial;M3 SEO / Indexación;Se captura canonical_url, pero falta comparar contra URL esperada/canónica definida.;Mostrar Canonical incorrecto cuando difiera de la URL esperada.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_004;Página con noindex;noindex = TRUE;Alta;Crítica;Indexación;Revisar robots/meta;Sí;Alta;Considerado;M3 SEO / Indexación;Se captura has_noindex para detectar bloqueo por meta robots.;Badge Noindex en rojo si aparece en página auditable.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_005;Noindex en páginas comerciales;noindex = FALSE (esperado);Alta;Crítica;Indexación;Corregir robots;Sí;Alta;Parcial;M3 SEO / Indexación;Se captura noindex, pero debe cruzarse de forma robusta con page_group=comercial para alertar solo páginas comerciales.;Mostrar alerta Alta: Noindex comercial.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_006;Bloqueo en robots.txt;URL bloqueada;Alta;Crítica;Indexación;Corregir robots.txt;Sí;Alta;No considerado;M3 SEO / Indexación avanzado;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_007;URL no en sitemap;URL indexable NOT IN sitemap;Media;Media;Indexación;Incluir en sitemap;Sí;Media;No considerado;M3 SEO / Indexación avanzado;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_008;Sitemap desactualizado;lastmod antiguo;Media;Media;Indexación;Actualizar sitemap;Sí;Media;Parcial;M1 Sitemap / M3 Indexación;Se captura lastmod desde sitemap, pero falta regla de antigüedad por umbral.;Mostrar antigüedad de lastmod y badge si está desactualizado.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_009;Redirección incorrecta;redirect chain > 1;Media;Media;Indexación;Simplificar redirección;Sí;Media;Considerado;M2 Técnico;"Se captura redirect_count; la regla debe alertar cuando supera el umbral permitido.";Badge/semáforo de redirecciones y alerta Media si supera el umbral.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_010;Redirección temporal incorrecta;status = 302 en vez de 301;Media;Media;Indexación;Cambiar a 301;Sí;Media;No considerado;Fuera del MVP / Backlog;No existe validación implementada actualmente en los 4 módulos del MVP.;"No mostrar aún; registrar en backlog.";
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_011;URLs con parámetros indexables;URL con parámetros AND indexable;Alta;Alta;Indexación;Canonicalizar/bloquear;Sí;Alta;No considerado;M3 SEO / Indexación avanzado;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_012;Página huérfana;sin enlaces internos;Alta;Alta;Indexación;Incluir en enlazado;Sí;Alta;No considerado;M3 SEO / Indexación avanzado;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_013;Página no rastreable;crawlable = FALSE;Alta;Crítica;Indexación;Permitir acceso bots;Sí;Alta;No considerado;M3 SEO / Indexación avanzado;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(indexación).csv;Indexación;IDX_014;Duplicidad por canonicalización;múltiples URLs mismo contenido;Alta;Alta;Indexación;Consolidar URLs;Sí;Alta;No considerado;M3 SEO / Indexación avanzado;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_001;Title obligatorio;title IS NOT NULL;Alta;Alta;SEO / CTR;Completar title;Sí;Alta;Considerado;M3 SEO;La validación está cubierta por campos del SEO Validator.;Mostrar check visual y hallazgo por URL si incumple.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_002;Extensión de Title;30 <= length(title) <= 65;Media;Media;SEO / CTR;Ajustar longitud;Sí;Media;Considerado;M3 SEO;Se captura longitud de title/meta description y puede aplicarse rango recomendado.;Mostrar longitud con semáforo por rango.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_003;Title duplicado;title DUPLICADO;Alta;Alta;SEO;Diferenciar titles;Sí;Alta;Parcial;M3 SEO;Se captura texto de title/meta, pero falta comparación global entre URLs para detectar duplicados.;Agregar agrupación de duplicados por texto.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_004;Meta description obligatoria;meta_description IS NOT NULL;Alta;Alta;SEO;Completar meta;Sí;Alta;Considerado;M3 SEO;La validación está cubierta por campos del SEO Validator.;Mostrar check visual y hallazgo por URL si incumple.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_005;Extensión de meta description;120 <= length(meta_description) <= 165;Media;Media;SEO;Ajustar longitud;Sí;Media;Considerado;M3 SEO;Se captura longitud de title/meta description y puede aplicarse rango recomendado.;Mostrar longitud con semáforo por rango.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_006;Meta description duplicada;meta_description DUPLICADA;Media;Media;SEO;Diferenciar metas;Sí;Media;Parcial;M3 SEO;Se captura texto de title/meta, pero falta comparación global entre URLs para detectar duplicados.;Agregar agrupación de duplicados por texto.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_007;Un solo H1;h1_count = 1;Alta;Alta;SEO estructura;Corregir headings;Sí;Alta;Considerado;M3 SEO;La validación está cubierta por campos del SEO Validator.;Mostrar check visual y hallazgo por URL si incumple.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_008;H1 faltante;h1_count = 0;Alta;Alta;SEO estructura;Agregar H1;Sí;Alta;Considerado;M3 SEO;La validación está cubierta por campos del SEO Validator.;Mostrar check visual y hallazgo por URL si incumple.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_009;H1 duplicado;h1_count > 1;Media;Media;SEO estructura;Corregir H1;Sí;Media;Considerado;M3 SEO;La validación está cubierta por campos del SEO Validator.;Mostrar check visual y hallazgo por URL si incumple.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_010;Jerarquía de headings;h2/h3 estructura lógica;Media;Media;SEO;Optimizar estructura;Sí;Media;No considerado;M3 SEO avanzado / Links;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_011;ALT en imágenes;imágenes sin ALT;Media;Media;SEO / Accesibilidad;Agregar ALT;Sí;Media;Considerado;M3 SEO;La validación está cubierta por campos del SEO Validator.;Mostrar check visual y hallazgo por URL si incumple.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_012;Contenido thin;word_count < 150;Media;Media;SEO;Enriquecer contenido;Sí;Media;No considerado;M3 SEO avanzado / Links;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_013;Contenido duplicado;similarity > X%;Alta;Alta;SEO;Consolidar contenido;Sí;Alta;No considerado;M3 SEO avanzado / Links;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
reglas_calidad_web_claro(SEO On Page).csv;On Page;ONP_017;Enlaces internos insuficientes;internal_links < 2;Media;Media;SEO;Agregar enlaces;Sí;Media;No considerado;M3 SEO avanzado / Links;Requiere nueva lógica: robots.txt, link graph, comparación cross-URL o análisis de contenido.;Registrar en backlog de reglas avanzadas.;
Derivado de matriz Tagging;Tagging;TAG_003;Doble etiquetado en elemento con interacción;double_tagging_detected = FALSE;Alta;Alta;Medición / Duplicidad;Corregir trigger o deduplicar evento;Sí;Alta;Considerado;M4 Tagging;"Se valida double_tagging_detected; debe mostrarse como hallazgo Alta.";Badge rojo y panel de detalle por URL/elemento.;
Derivado de matriz Tagging;Tagging;TAG_004;Elemento con interacción sin etiquetado;has_interactions=TRUE AND etiquetado=FALSE;Media;Media;Medición;Agregar etiquetado al CTA/interacción;Sí;Media;Parcial;M4 Tagging;Se detectan interacciones, pero falta inventario de eventos esperados por componente para confirmar ausencia de etiquetado.;Mostrar lista de CTAs sin evento cuando exista inventario.;
Derivado de matriz Tagging;Tagging;TAG_005;dataLayer presente;has_datalayer=TRUE;Alta;Alta;Medición;Implementar dataLayer;Sí;Alta;Considerado;M4 Tagging;Se valida has_datalayer.;Check verde/rojo en tabla y cards.;
Derivado de matriz Tagging;Tagging;TAG_006;Tracking en WhatsApp;has_whatsapp_click_hint=TRUE;Media;Media;Medición / Leads;Agregar tracking a clics WhatsApp;Sí;Media;Considerado;M4 Tagging;"Se detecta hint de WhatsApp; se debe mostrar en detalle de URL.";Badge WhatsApp detectado y detalle por URL.;
Derivado de matriz Tagging;Tagging;TAG_007;Tracking de generación de lead;has_generate_lead_hint=TRUE;Alta;Alta;Medición / Leads;Agregar evento de lead;Sí;Alta;Considerado;M4 Tagging;Se detecta hint de lead.;"Badge Lead detectado; alertar si formulario/CTA sin lead.";
Derivado de matriz Tagging;Tagging;TAG_008;Parámetros GA4 mínimos;event_name, element, seccion, segmento deben existir;Media;Media;Calidad de datos;Estandarizar payload de eventos;Sí;Media;No considerado;M4 Tagging avanzado;El CSV incluye parámetros recomendados, pero no hay validación de payload real de eventos.;Panel de parámetros faltantes por evento.;
Investigación Cynthia;Tecnico;TECH_009;Errores en consola;console_errors = 0;Alta;Crítica;UX / Técnico;Corregir errores JS;Sí;Alta;Considerado;M2 Técnico;Validación frontend/browser ya contemplada;Tabla de errores + badge rojo;
Investigación Cynthia;Tecnico;TECH_010;Warnings en consola;console_warnings < 5;Media;Alta;UX / Técnico;Reducir warnings;Sí;Media;Parcial;M2 Técnico;Falta categorización avanzada;Tabla + contador amarillo;
Investigación Cynthia;Performance;PERF_022;CSS minificado;minified_css = TRUE;Media;Media;Performance;Minificar CSS;Sí;Media;No considerado;M6 Performance;No implementado;Badge técnico;
Investigación Cynthia;Performance;PERF_023;JS minificado;minified_js = TRUE;Media;Media;Performance;Minificar JS;Sí;Media;No considerado;M6 Performance;No implementado;Badge técnico;
Investigación Cynthia;Performance;PERF_024;Número de requests;requests < 80;Media;Media;Performance;Reducir requests HTTP;Sí;Media;No considerado;M6 Performance;Requiere análisis waterfall;Tabla requests;
Investigación Cynthia;Performance;PERF_025;Fuentes (Web Fonts);optimized_fonts = TRUE;Media;Media;UX / Performance;Optimizar fonts;Sí;Media;No considerado;M6 Performance;Falta auditoría fonts;Tabla fonts;
Investigación Cynthia;Performance;PERF_026;Render-blocking resources;blocking_resources mínimo;Alta;Alta;Performance;Diferir recursos;Sí;Alta;No considerado;M6 Performance;Falta análisis render;Tabla recursos;
Investigación Cynthia;Performance;PERF_027;Browser Caching;cache_enabled = TRUE;Alta;Alta;Performance;Activar cache;Sí;Alta;No considerado;M6 Performance;Cobertura parcial cache;Badge cache;
Investigación Cynthia;Contenido;CONT_008;Contenido E-E-A-T;eeat_score >= umbral;Alta;Alta;SEO / Marca;Mejorar contenido;Parcial;Alta;No considerado;M7 Contenido;Requiere análisis semántico;Score contenido;
Investigación Cynthia;Accesibilidad;ACCE_001;ARIA labels;aria_labels_correct = TRUE;Media;Media;Accesibilidad;Agregar etiquetas ARIA;Sí;Media;No considerado;M8 Accesibilidad;Nuevo módulo requerido;Tabla accesibilidad;
Investigación Cynthia;Accesibilidad;ACCE_002;Semantic HTML;semantic_html = TRUE;Media;Media;Accesibilidad / SEO;Mejorar semántica HTML;Sí;Media;No considerado;M8 Accesibilidad;Nuevo módulo requerido;Árbol DOM;
Investigación Cynthia;Seguridad;SEG_001;HTTPS + Security Headers;security_headers = TRUE;Alta;Crítica;Seguridad;Configurar headers;Sí;Alta;No considerado;M9 Seguridad;Nuevo módulo requerido;Tabla headers;
Investigación Cynthia;Seguridad;SEG_002;Mixed Content;mixed_content = 0;Alta;Alta;Seguridad;Remover contenido inseguro;Sí;Alta;No considerado;M9 Seguridad;Nuevo módulo requerido;Tabla recursos;
Investigación Cynthia;Seguridad;SEG_003;Cookies Consent;consent_banner = TRUE;Alta;Alta;Seguridad;Implementar consentimiento;Parcial;Alta;Parcial;M4 Tagging / M9 Seguridad;Cobertura parcial CMP;Banner + estado;
Investigación Cynthia;Tecnico;TECH_011;SyntaxError;Cuando se detecta SyntaxError en consola o auditoría automática;Alta;Crítica;UX ;Corregir error de sintaxis en javascript y validar en QA técnico;Sí;Alta;Considerado;M2 Técnico;Cubierto parcialmente por validaciones del módulo M2 Técnico;Toast + badge en dashboard técnico;
Investigación Cynthia;Tecnico;TECH_012;ReferenceError;Cuando se detecta ReferenceError en consola o auditoría automática;Alta;Alta;UX ;Corregir variable o función no definida y validar en QA técnico;Sí;Alta;Considerado;M2 Técnico;Cubierto parcialmente por validaciones del módulo M2 Técnico;Toast + badge en dashboard técnico;
Investigación Cynthia;Tecnico;TECH_013;TypeError;Cuando se detecta TypeError en consola o auditoría automática;Alta;Alta;UX ;Corregir operación inválida sobre un tipo y validar en QA técnico;Sí;Alta;Considerado;M2 Técnico;Cubierto parcialmente por validaciones del módulo M2 Técnico;Toast + badge en dashboard técnico;
